Identifiant_de_l_etablissement;Type_etablissement;Statut_public_prive;Type_contrat_prive;Nom_etablissement;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_commune;Nom_commune;Code_departement;Libelle_departement;Code_academie;Libelle_academie;Code_region;Libelle_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Lycee_des_metiers;Apprentissage;Segpa;Post_BAC;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Nombre_d_eleves;GRETA;SIREN_SIRET;Fiche_onisep;Appartenance_Education_Prioritaire;coordX_origine;coordY_origine;epsg_origine;nom_circonscription;latitude;longitude;position;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;multi_uai;rpi_concentre;rpi_disperse;code_nature;libelle_nature
0011432B;Ecole;Public;SANS OBJET;Ecole primaire publique la Diamanterie;431 rue Simone Veil ;;01630 ST GENIS POUILLY;01630;01354;Saint-Genis-Pouilly;01;Ain;10;Lyon;84;Auvergne-Rh�ne-Alpes;1;1;;;;;;;ce.0011432B@ac-lyon.fr;1;0;0;;;;;;;;;;;;;;;;;;933341.9;6575587.2;EPSG:2154;Circonscription d'inspection du 1er degr� du Pays de Gex Nord;46.239866010583114;6.028970177489247;46.239866010583114,6.028970177489247;Rue;2018-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0022188T;Ecole;Priv�;HORS CONTRAT;Chouette Ecole;9 rue des sources ;;02380 VERNEUIL SOUS COUCY;02380;02786;Verneuil-sous-Coucy;02;Aisne;20;Amiens;32;Hauts-de-France;0;1;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;Circonscription d'inspection du 1er degr� de Chauny;;;;;2019-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0050650E;Ecole;Public;SANS OBJET;ECOLE PRIMAIRE PUBLIQUE REOTIER - ST CL�MENT SUR DURANCE;Lieu-dit la Clapi�re LA CLAPI�RE;;05600 ST CLEMENT SUR DURANCE;05600;05134;Saint-Cl�ment-sur-Durance;05;Hautes-Alpes;02;Aix-Marseille;93;Provence-Alpes-C�te d'Azur;1;1;;;;0492451738;;;ce.0050650E@ac-aix-marseille.fr;0;0;0;;;;;;;;;;;;;32;;25050107900025;;;984078.6;6401671.9;EPSG:2154;Circonscription d'inspection du 1er degr� de Brian�on;44.656113767861974;6.584322492208825;44.656113767861974,6.584322492208825;Num�ro de rue;2015-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;1;;151;ECOLE DE NIVEAU ELEMENTAIRE
0060571N;Ecole;Public;SANS OBJET;Ecole maternelle Sospel;Boulevard Jules Ferry ;;06380 SOSPEL;06380;06136;Sospel;06;Alpes-Maritimes;23;Nice;93;Provence-Alpes-C�te d'Azur;1;0;;;;0493272587;;;ce.0060571N@ac-nice.fr;1;0;0;;;;;;;;;;;;;135;;21060136500021;;;1057355.4;6319029.6;EPSG:2154;Circonscription d'inspection du 1er degr� de Menton;43.879655903385704;7.448424086926273;43.879655903385704,7.448424086926273;Num�ro de rue;1965-07-12;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE
0070132F;Ecole;Public;SANS OBJET;Ecole primaire;Quartier Dumont ;;07140 GRAVIERES;07140;07100;Gravi�res;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475373190;;;ce.0070132F@ac-grenoble.fr;0;0;0;;;;;;;;;;;;;59;;21070100900024;;;786891.8;6369646.0;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 2;44.42045373214524;4.091439869777075;44.42045373214524,4.091439869777075;Num�ro de rue;1966-10-14;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;1;;151;ECOLE DE NIVEAU ELEMENTAIRE
0070139N;Ecole;Public;SANS OBJET;Ecole primaire; LE VILLAGE;;07140 LES ASSIONS;07140;07017;Les Assions;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475372011;;;ce.0070139N@ac-grenoble.fr;1;0;0;;;;;;;;;;;;;59;;21070017500024;;;793466.4;6369843.5;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 2;44.42138243465159;4.174047953143483;44.42138243465159,4.174047953143483;Ville;1966-09-22;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0070188S;Ecole;Public;SANS OBJET;Ecole primaire; LE VILLAGE;;07230 CHANDOLAS;07230;07053;Chandolas;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475390561;;;ce.0070188S@ac-grenoble.fr;0;0;0;;;;;;;;;;;;;12;;21070053000020;;;799752.7;6367908.9;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 2;44.40310009355342;4.252612982381042;44.40310009355342,4.252612982381042;Ville;1966-10-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0070211S;Ecole;Public;SANS OBJET;Ecole �l�mentaire; LE VILLAGE;;07260 VERNON;07260;07336;Vernon;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;0;1;;;;0475362042;;;ce.0070211S@ac-grenoble.fr;0;0;0;;;;;;;;;;;;;19;;21070336900020;;;797311.1;6379432.4;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 2;44.50716636181629;4.224201559486747;44.50716636181629,4.224201559486747;Ville;1966-10-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;007008;151;ECOLE DE NIVEAU ELEMENTAIRE
0070231N;Ecole;Public;SANS OBJET;Ecole primaire; LE VILLAGE;;07110 UZER;07110;07327;Uzer;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475369133;;;ce.0070231N@ac-grenoble.fr;1;0;0;;;;;;;;;;;;;23;;21070327800023;;;805302.7;6380881.9;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 2;44.51905212404059;4.325025993672194;44.51905212404059,4.325025993672194;Ville;1966-10-17;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;007011;151;ECOLE DE NIVEAU ELEMENTAIRE
0070268D;Ecole;Public;SANS OBJET;Ecole primaire; LE VILLAGE;;07110 CHASSIERS;07110;07058;Chassiers;07;Ard�che;08;Grenoble;84;Auvergne-Rh�ne-Alpes;1;1;;;;0475391534;;;ce.0070268D@ac-grenoble.fr;0;0;0;;;;;;;;;;;;;94;;21070058900026;;;802970.9;6384517.2;EPSG:2154;Circonscription d'inspection du 1er degr� d'Aubenas 2;44.55212207972891;4.296441199057126;44.55212207972891,4.296441199057126;Ville;1966-10-14;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
